순,이름,팀,WAR,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR_1,WPA,포지션,BB/9
66,박세웅,롯데,0.98,12,0,0,12,3,6,0,0,60,33,28,263,66,12,3,3,23,0,0,44,0,4,4.2,3.74,1.48,99.8,112.2,0.98,-0.45,우선,3.45 
67,박희수,SK,0.91,34,0,0,0,0,1,1,2,28.2,8,4,124,29,2,0,1,13,0,3,14,0,0,1.26,4.55,1.47,338.9,92.7,0.91,0.28,좌중,4.15 
68,김건국,롯데,0.9,37,0,0,5,3,3,0,3,66.2,34,33,293,73,8,1,5,27,0,6,43,0,3,4.46,4.57,1.5,94.1,91.6,0.9,-0.27,우선,3.67 
69,전유수,kt,0.88,62,0,0,1,3,1,1,7,66.1,31,25,280,66,16,1,2,18,4,4,46,0,6,3.39,3.22,1.27,122,128.9,0.88,-1.21,우선,2.45 
70,원태인,삼성,0.85,26,0,0,20,4,8,0,2,112,65,60,493,119,26,3,12,39,0,5,68,2,6,4.82,4.76,1.41,90,89.7,0.85,-1.59,우선,3.13 
71,손승락,롯데,0.85,53,0,0,0,4,3,9,2,52.2,27,23,233,54,9,1,3,19,3,3,44,0,2,3.93,3.56,1.39,106.7,117.4,0.85,-1.04,우마,3.28 
72,한현희,키움,0.84,61,0,0,0,7,5,0,24,58,26,22,251,50,10,1,1,20,1,7,49,1,2,3.41,3.28,1.21,121.2,127,0.84,-0.45,우중,3.10 
73,진해수,LG,0.83,73,0,0,0,3,1,0,20,43,17,16,188,44,3,3,2,16,0,2,38,0,0,3.35,3.5,1.4,122.6,117,0.83,-0.02,좌중,3.35 
74,톰슨,롯데,0.82,11,1,1,11,2,3,0,0,62.2,35,33,267,54,8,1,4,23,0,5,60,0,8,4.74,3.66,1.23,88.5,114.4,0.82,-0.26,우선,3.33 
75,함덕주,두산,0.82,61,0,0,0,2,5,16,7,54.2,24,21,236,39,7,1,6,34,4,1,48,0,2,3.46,4.78,1.34,118.7,84.8,0.82,1.14,좌마,5.65 
76,윤성환,삼성,0.82,27,1,1,27,8,13,0,0,145.1,87,77,643,168,34,3,14,50,0,7,65,0,3,4.77,4.94,1.5,91,86.3,0.82,-1.05,우선,3.10 
77,박상원,한화,0.81,61,0,0,0,1,4,0,12,59,29,26,256,52,6,0,5,28,1,5,39,0,1,3.97,4.81,1.36,104.5,86.6,0.81,0.45,우중,4.27 
78,이승호,키움,0.77,23,1,1,23,8,5,0,0,122.2,70,61,533,134,27,3,10,51,0,1,82,3,5,4.48,4.4,1.51,92.5,93.5,0.77,-0.82,좌선,3.76 
79,박진형,롯데,0.76,41,0,0,0,2,1,5,5,40.1,19,18,169,40,3,0,6,11,3,0,40,0,5,4.02,3.95,1.26,104.4,106.5,0.76,-1.02,우마,2.47 
80,맥과이어,삼성,0.76,21,1,1,21,4,8,0,0,112.1,68,63,512,119,24,3,13,66,0,6,100,2,3,5.05,5.05,1.65,86,84.7,0.76,-0.37,우선,5.30 
81,이영준,키움,0.74,29,0,0,0,1,1,0,1,33.1,11,11,136,39,7,2,0,5,0,0,19,0,0,2.97,2.71,1.32,139.4,154.1,0.74,0.69,좌중,1.36 
82,임현준,삼성,0.72,71,0,0,0,1,0,0,8,42.1,19,16,177,34,9,1,2,12,0,3,35,0,0,3.4,3.43,1.09,127.6,123.7,0.72,0.45,좌중,2.57 
83,고효준,롯데,0.7,75,0,0,0,2,7,0,15,62.1,34,33,280,58,13,1,6,36,6,3,72,0,11,4.76,3.93,1.51,88,106.2,0.7,-1.37,좌중,5.22 
84,김대유,kt,0.69,21,0,0,0,0,0,0,0,27,7,7,111,21,6,0,1,12,1,4,23,0,0,2.33,3.85,1.22,177.4,107.6,0.69,0.21,좌중,4.00 
85,정우영,LG,0.66,56,0,0,0,4,6,1,16,65.1,30,27,273,57,9,2,2,20,5,8,38,1,3,3.72,3.69,1.18,110.4,111.6,0.66,0.63,우중,2.76 
86,임기준,KIA,0.65,52,0,0,0,2,2,0,6,36.2,17,14,162,32,5,0,1,16,0,4,24,0,2,3.44,4.09,1.31,122,102.7,0.65,0.04,좌중,3.98 
87,김동준,키움,0.64,33,0,0,5,8,3,0,2,70,36,35,300,77,15,0,5,23,0,0,50,0,3,4.5,3.89,1.43,92,105.8,0.64,-0.25,우선,2.96 
88,서준원,롯데,0.63,33,0,0,16,4,11,0,0,97,61,59,443,117,25,1,10,38,0,11,60,1,1,5.47,5.02,1.6,76.6,83.5,0.63,-0.84,우선,3.53 
89,김정훈,NC,0.62,44,0,0,0,0,2,0,7,51.1,23,21,215,49,11,0,5,16,0,4,32,0,3,3.68,4.59,1.27,114.5,91.9,0.62,0.66,우중,2.82 
90,배재환,NC,0.6,62,0,0,0,3,5,0,20,54.1,26,22,247,49,9,0,3,31,2,7,61,1,2,3.64,3.86,1.47,115.6,109.5,0.6,-0.66,우중,5.16 
91,류제국,LG,0.59,11,0,0,11,0,2,0,0,53.1,27,25,243,57,7,2,5,26,1,4,31,0,2,4.22,5.09,1.56,97.3,79.9,0.59,-0.58,우선,4.41 
92,김진영,한화,0.56,6,0,0,5,0,4,0,0,26.2,12,12,117,27,6,0,1,16,0,1,14,0,0,4.05,4.75,1.61,102.3,88.2,0.56,0.12,우선,5.50 
93,백승건,SK,0.56,15,0,0,0,0,0,0,0,19.1,5,5,81,16,4,0,1,12,0,1,14,0,1,2.33,4.64,1.45,182.8,91.1,0.56,-0.51,좌중,5.65 
94,이대은,kt,0.53,43,0,0,8,4,2,17,0,85,48,40,387,88,17,1,10,39,1,6,58,0,5,4.24,5.12,1.49,97.7,80.1,0.53,0.93,우선,4.13 
95,김이환,한화,0.5,11,0,0,8,4,3,0,0,38,19,18,171,42,9,0,2,21,0,2,15,0,1,4.26,5.11,1.66,97.2,81.9,0.5,0.04,우선,4.97 
96,김민,kt,0.46,27,0,0,26,6,11,0,0,150.2,88,83,674,175,26,4,16,65,0,4,91,2,4,4.96,4.95,1.59,83.5,83,0.46,-2.06,우선,3.89 
97,김민수,kt,0.45,28,0,0,11,8,5,2,1,81.2,46,45,354,87,12,3,10,30,2,2,56,0,4,4.96,4.73,1.43,83.5,86.8,0.45,-0.6,우선,3.33 
98,강윤구,NC,0.44,67,0,0,0,3,3,0,15,56.1,29,28,242,55,4,4,4,24,2,4,49,0,2,4.47,3.97,1.4,94.2,106.3,0.44,0.47,좌중,3.85 
99,차명진,KIA,0.43,9,0,0,6,3,1,0,0,33,17,16,151,35,9,0,1,18,0,2,19,0,3,4.36,4.46,1.61,96.1,93.8,0.43,0.25,우선,4.91 
100,원종현,NC,0.41,60,0,0,0,3,3,31,0,60,31,27,256,62,9,2,4,17,2,3,59,0,5,4.05,3.2,1.32,104,132.1,0.41,0.74,우마,2.55 
101,신재웅,SK,0.4,20,0,0,1,1,0,0,0,21.2,8,8,88,14,4,0,1,10,0,1,14,0,0,3.32,4.23,1.11,128.1,99.9,0.4,0.27,좌선,4.25 
102,김선기,키움,0.37,7,0,0,6,3,1,0,0,28,13,13,122,27,5,0,2,9,0,4,17,0,2,4.18,4.51,1.29,99,91.6,0.37,0.07,우선,2.89 
103,신재영,키움,0.37,12,0,0,6,1,0,0,0,29.1,14,12,132,34,14,2,1,9,0,4,21,0,1,3.68,3.74,1.47,112.4,111,0.37,0.27,우선,2.78 
104,박치국,두산,0.36,61,0,0,0,2,2,3,14,52,26,26,229,64,14,1,5,14,2,5,35,0,3,4.5,4.29,1.5,91.2,94.6,0.36,-1.07,우중,2.42 
105,문광은,LG,0.33,32,0,0,0,1,1,1,3,33,15,15,141,35,5,1,3,13,0,1,26,0,1,4.09,4.28,1.46,100.4,94.7,0.33,0.92,우중,3.55 
106,최채흥,삼성,0.32,28,0,0,15,6,6,0,2,106.2,67,57,478,127,21,5,10,36,1,1,89,0,6,4.81,3.97,1.53,90.2,107.8,0.32,-1.21,좌선,3.05 
107,조무근,롯데,0.3,8,0,0,0,0,0,0,0,9.2,2,2,43,6,2,1,0,5,0,3,5,0,0,1.86,4.85,1.14,225.2,85.3,0.3,-0.03,우중,4.89 
108,여건욱,LG,0.29,25,0,0,0,0,0,0,0,29.2,14,13,130,35,11,1,2,8,0,1,24,0,1,3.94,3.57,1.45,104.1,114,0.29,-0.22,우중,2.47 
109,강지광,SK,0.29,25,0,0,0,2,4,0,6,27.1,14,12,115,24,5,0,0,11,1,0,15,0,3,3.95,3.4,1.28,107.7,122.9,0.29,0.46,우중,3.65 
110,임창민,NC,0.29,20,0,0,0,0,1,0,2,15,6,4,64,14,2,0,1,8,1,1,10,0,1,2.4,4.54,1.47,175.6,92.8,0.29,-0.24,우중,4.80 
111,하준호,kt,0.28,8,0,0,0,0,0,0,0,8,1,1,33,4,0,0,1,4,0,0,11,0,1,1.13,3.78,1,367.9,108.1,0.28,-0.02,좌중,4.50 
112,권오준,삼성,0.24,43,0,0,0,3,0,0,3,43,25,25,187,49,10,1,7,12,0,2,26,0,0,5.23,5.29,1.42,82.9,81.4,0.24,-0.18,우중,2.51 
113,배영수,두산,0.21,37,0,0,0,1,2,0,0,45.1,25,23,194,50,11,1,4,11,2,3,10,1,3,4.57,4.9,1.35,89.9,83.2,0.21,-0.6,우중,2.20 
114,김현수,롯데,0.2,6,0,0,0,0,1,0,0,6.1,2,1,24,3,1,0,0,1,0,0,4,0,1,1.42,2.61,0.63,295.1,159.8,0.2,0,우중,1.48 
115,홍성민,롯데,0.2,12,0,0,0,0,0,0,1,12.2,6,6,57,17,4,0,0,0,0,1,7,0,2,4.26,2.53,1.34,98.4,164.2,0.2,-0.12,우중,0.00 
116,이동현,LG,0.2,5,0,0,0,0,0,0,0,5,0,0,20,6,0,0,0,0,0,0,5,0,0,0,1.4,1.2,,299.7,0.2,0.03,우중,0.00 
117,송승준,롯데,0.19,11,0,0,1,0,1,0,0,14.1,7,7,64,16,3,0,2,6,0,0,13,0,0,4.4,4.66,1.54,95.4,90.4,0.19,-0.42,우선,3.83 
